user,arn,user_creation_time,password_enabled,password_last_used,password_last_changed,password_next_rotation,mfa_active,access_key_1_active,access_key_1_last_rotated,access_key_1_last_used_date,access_key_1_last_used_region,access_key_1_last_used_service,access_key_2_active,access_key_2_last_rotated,access_key_2_last_used_date,access_key_2_last_used_region,access_key_2_last_used_service,cert_1_active,cert_1_last_rotated,cert_2_active,cert_2_last_rotated
<root_account>,arn:aws:iam::555555555555:root,2019-03-11T00:00:00+00:00,TRUE,N/A,not_supported,not_supported,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A,FALSE,N/A
ops-console,arn:aws:iam::555555555555:user/ops-console,2024-02-01T00:00:00+00:00,TRUE,N/A,2024-02-01T00:00:00+00:00,N/A,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A,FALSE,N/A
legacy-backup,arn:aws:iam::555555555555:user/legacy-backup,2021-04-05T00:00:00+00:00,FALSE,N/A,2021-04-05T00:00:00+00:00,N/A,FALSE,TRUE,2021-04-05T00:00:00+00:00,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A,FALSE,N/A
ci-deployer,arn:aws:iam::555555555555:user/ci-deployer,2023-01-15T00:00:00+00:00,FALSE,N/A,2023-01-15T00:00:00+00:00,N/A,FALSE,TRUE,2026-03-01T00:00:00+00:00,2026-07-28T00:00:00+00:00,us-west-2,s3,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A,FALSE,N/A
vendor-sync,arn:aws:iam::555555555555:user/vendor-sync,2022-09-09T00:00:00+00:00,FALSE,N/A,2022-09-09T00:00:00+00:00,N/A,FALSE,TRUE,2026-05-01T00:00:00+00:00,2026-07-30T00:00:00+00:00,us-west-2,s3,TRUE,2024-01-01T00:00:00+00:00,N/A,N/A,N/A,FALSE,N/A,FALSE,N/A
data-pipeline,arn:aws:iam::555555555555:user/data-pipeline,2023-06-01T00:00:00+00:00,FALSE,N/A,2023-06-01T00:00:00+00:00,N/A,FALSE,TRUE,2026-04-01T00:00:00+00:00,2026-07-25T00:00:00+00:00,us-west-2,s3,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A,FALSE,N/A
report-reader,arn:aws:iam::555555555555:user/report-reader,2025-02-02T00:00:00+00:00,FALSE,N/A,2025-02-02T00:00:00+00:00,N/A,FALSE,TRUE,2026-06-15T00:00:00+00:00,2026-07-29T00:00:00+00:00,us-west-2,s3,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A,FALSE,N/A
cert-holder,arn:aws:iam::555555555555:user/cert-holder,2020-08-08T00:00:00+00:00,FALSE,N/A,2020-08-08T00:00:00+00:00,N/A,FALSE,TRUE,2026-02-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,us-west-2,s3,FALSE,N/A,N/A,N/A,N/A,TRUE,2020-08-08T00:00:00+00:00,FALSE,N/A
iam-helper,arn:aws:iam::555555555555:user/iam-helper,2024-11-01T00:00:00+00:00,FALSE,N/A,2024-11-01T00:00:00+00:00,N/A,FALSE,TRUE,2026-06-01T00:00:00+00:00,2026-07-27T00:00:00+00:00,us-west-2,s3,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A,FALSE,N/A
wide-writer,arn:aws:iam::555555555555:user/wide-writer,2024-05-05T00:00:00+00:00,FALSE,N/A,2024-05-05T00:00:00+00:00,N/A,FALSE,TRUE,2026-05-20T00:00:00+00:00,2026-07-26T00:00:00+00:00,us-west-2,s3,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A,FALSE,N/A
except-all,arn:aws:iam::555555555555:user/except-all,2025-07-07T00:00:00+00:00,FALSE,N/A,2025-07-07T00:00:00+00:00,N/A,FALSE,TRUE,2026-06-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,us-west-2,s3,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A,FALSE,N/A
phoenix,arn:aws:iam::555555555555:user/phoenix,2022-01-01T00:00:00+00:00,FALSE,N/A,2022-01-01T00:00:00+00:00,N/A,FALSE,TRUE,2022-01-01T00:00:00+00:00,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A,FALSE,N/A
